html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id
,https://ror.org/0003ege03,,,,add==UPR 5301;UPR5301,,,,,,,,,,,,,,,,,
,https://ror.org/0015ws592,,,,add==UMR 7104;UMR7104,,,,,,,,,,,,,,,,,
,https://ror.org/00190j002,,,,add==FR 3459;FR3459,,,,,,,,,,,,,,,,,
,https://ror.org/0019x5d05,,,,add==UMS 3760;UMS3760,,,,,,,,,,,,,,,,,
,https://ror.org/001c8pb03,,,,add==UMR 8227;UMR8227,,,,,,,,,,,,,,,,,
,https://ror.org/001r32c80,,,,add==UMR 7141;UMR7141,,,,,,,,,,,,,,,,,
,https://ror.org/00222yk13,,,,add==UMR 5254;UMR5254,,,,,,,,,,,,,,,,,
,https://ror.org/003ckn545,,,,add==EA 4442;EA4442,,,,,,,,,,,,,,,,,
,https://ror.org/003fs1j49,,,,add==UMR 8163;UMR8163,,,,,,,,,,,,,,,,,
,https://ror.org/0041am420,,,,add==UMR 8103;UMR8103,,,,,,,,,,,,,,,,,
,https://ror.org/004rej139,,,,add==UMR 3589;UMR3589,,,,,,,,,,,,,,,,,
,https://ror.org/004wefe19,,,,add==UMR 5082;UMR5082,,,,,,,,,,,,,,,,,
,https://ror.org/005e8fd26,,,,add==UMR 8250;UMR8250,,,,,,,,,,,,,,,,,
,https://ror.org/005hw9085,,,,add==UMR 7302;UMR7302,,,,,,,,,,,,,,,,,
,https://ror.org/006jv0w93,,,,add==EA 2561;EA2561,,,,,,,,,,,,,,,,,
,https://ror.org/006shqv80,,,,add==UMR 8174;UMR8174,,,,,,,,,,,,,,,,,
,https://ror.org/00721wn77,,,,add==UMR 5115;UMR5115,,,,,,,,,,,,,,,,,
,https://ror.org/007p4nf03,,,,add==UMR 7018;UMR7018,,,,,,,,,,,,,,,,,
,https://ror.org/007xqmx73,,,,add==UMR 7044;UMR7044,,,,,,,,,,,,,,,,,
,https://ror.org/009a00p22,,,,add==EA 3188;EA3188,,,,,,,,,,,,,,,,,
,https://ror.org/009rwsd77,,,,add==EA 3226;EA3226,,,,,,,,,,,,,,,,,
,https://ror.org/00a72jq18,,,,add==UMR 8213;UMR8213,,,,,,,,,,,,,,,,,
,https://ror.org/00abqs885,,,,add==UMR 7106;UMR7106,,,,,,,,,,,,,,,,,
,https://ror.org/00ae7xs76,,,,add==EA 4416;EA4416,,,,,,,,,,,,,,,,,
,https://ror.org/00avmbz91,,,,add==UMI 2958;UMI2958,,,,,,,,,,,,,,,,,
,https://ror.org/00az7j379,,,,add==UMR 9199;UMR9199,,,,,,,,,,,,,,,,,
,https://ror.org/00b7djk73,,,,add==UMR 7640;UMR7640,,,,,,,,,,,,,,,,,
,https://ror.org/00c3ktd57,,,,add==UMR 7370;UMR7370,,,,,,,,,,,,,,,,,
,https://ror.org/00dgdgj39,,,,add==EA 7329;EA7329,,,,,,,,,,,,,,,,,
,https://ror.org/00dy3ee97,,,,add==GDR 3177;GDR3177,,,,,,,,,,,,,,,,,
,https://ror.org/00e4fz088,,,,add==EA 373;EA373,,,,,,,,,,,,,,,,,
,https://ror.org/00f5hap04,,,,add==UMR 5281;UMR5281,,,,,,,,,,,,,,,,,
,https://ror.org/00g32ep81,,,,add==UMR 8025;UMR8025,,,,,,,,,,,,,,,,,
,https://ror.org/00g669j87,,,,add==UMR 5142;UMR5142,,,,,,,,,,,,,,,,,
,https://ror.org/00gy9rx06,,,,add==UR 4011;UR4011,,,,,,,,,,,,,,,,,
,https://ror.org/00jb20a14,,,,add==UMR 8235;UMR8235,,,,,,,,,,,,,,,,,
