html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,parent_relationships,child_relationships,related_relationships
,https://ror.org/03hdb9194,Centro de Investigação em Energia e Ambiente*pt,active,facility,Instituto Politécnico de Setúbal Centro de Investigação em Energia e Ambiente*pt,Centro de Investigação em Energia e Ambiente*pt,IPS CINEA*pt,,,,,,,,,0000 0005 1091 4778,0000 0005 1091 4778,,,Setúbal,Portugal,2262963,https://ror.org/01bvjz807,,
,https://ror.org/004dvm254,Centro de Investigação e Desenvolvimento em Sistemas Agroalimentares e Sustentabilidade*pt,active,facility,Instituto Politécnico de Viana do Castelo Centro de Investigação e Desenvolvimento em Sistemas Agroalimentares e Sustentabilidade*pt,Centro de Investigação e Desenvolvimento em Sistemas Agroalimentares e Sustentabilidade*pt; Center for Research and Development in Agrifood Systems and Sustainability*en,CISAS*pt,https://www.ipvc.pt/en/investigar/idi/unidades-de-investigacao/,,,,,,,,0000 0005 1089 8368,0000 0005 1089 8368,,,Viana do Castelo,Portugal,2732772,https://ror.org/03w6kry90,,
,https://ror.org/00ckvhj86,Centro de Estudos em Educação Tecnologia e Saúde*pt,active,facility,Instituto Politécnico de Viseu Centro de Estudos em Educação Tecnologia e Saúde*pt,Centro de Estudos em Educação Tecnologia e Saúde*pt,CI&DETS*pt,https://site.ipv.pt/cidets/,,,,,,,,0000 0004 6410 9064,0000 0004 6410 9064,,,Viseu,Portugal,2732264,https://ror.org/0235kxk33,,
,https://ror.org/03rrh5171,Centro de Investigação Interdisciplinar Egas Moniz*pt,active,facility,Instituto Universitário Egas Moniz Centro de Investigação Interdisciplinar Egas Moniz*pt,Centro de Investigação Interdisciplinar Egas Moniz*pt; Center for Interdisciplinary Research*en,IUEM CiiEM*pt,https://ciiem.egasmoniz.edu.pt,,,,,,,,0000 0004 6413 9036,0000 0004 6413 9036,,,Caparica,Portugal,2270229,,,
,https://ror.org/02bd6dy50,Centro de Investigação e Estudos de Sociologia*pt,active,facility,ISCTE-Instituto Universitário de Lisboa Centro de Investigação e Estudos de Sociologia*pt,Centro de Investigação e Estudos de Sociologia*pt,CIES*pt,https://cies.iscte.pt,,,,,,,,0000 0004 5895 5977,0000 0004 5895 5977,Q74536103,Q74536103,Lisboa,Portugal,2267057,https://ror.org/014837179,,
,https://ror.org/0540dcv15,Centro de Investigação em Psicologia*pt,active,facility,Universidade Autónoma de Lisboa Centro de Investigação em Psicologia*pt,Centro de Investigação em Psicologia*pt,,https://cip.autonoma.pt,,,,,,,,0000 0004 5895 910X,0000 0004 5895 910X,,,Lisboa,Portugal,2267057,https://ror.org/01ryrwk91,,
,https://ror.org/01m8xrn95,Centro de Estudos de Comunicação e Cultura*pt,active,facility,Universidade Catolica Portuguesa Centro de Estudos de Comunicação e Cultura*pt,Centro de Estudos de Comunicação e Cultura*pt,CECC*pt,https://cecc.fch.lisboa.ucp.pt,,,,,,,,0000 0004 5896 681X,0000 0004 5896 681X,,,Lisboa,Portugal,2267057,https://ror.org/03b9snr86,,
,https://ror.org/03eyga648,Centro de Investigação Interdisciplinar em Saúde*pt,active,facility,Universidade Católica Portuguesa Centro de Investigação Interdisciplinar em Saúde*pt,Centro de Investigação Interdisciplinar em Saúde*pt,UCP CIIS*pt,https://fcse.lisboa.ucp.pt/docentes-conhecimento/investigacao/centro-de-investigacao-interdisciplinar-em-saude,,,,,,,,0000 0004 6416 4506,0000 0004 6416 4506,,,Lisboa,Portugal,2267057,https://ror.org/03b9snr86,,
,https://ror.org/00x1cgf82,Centro de Espectrometria de Massa*pt,active,facility,Universidade de Aveiro Centro de Espectrometria de Massa*pt,Centro de Espectrometria de Massa*pt; Mass Spectrometry Centre*en,,https://masspec.web.ua.pt,,,,,,,,0000 0004 6427 9805,0000 0004 6427 9805,,,Aveiro,Portugal,2742611,https://ror.org/00nt41z93,,
,https://ror.org/00npbs606,Centro de Línguas Literaturas e Culturas*pt,active,facility,Universidade de Aveiro Centro de Línguas Literaturas e Culturas*pt,Centro de Línguas Literaturas e Culturas*pt,CLLC*pt,https://www.ua.pt/pt/cllc,,,,,,,,0000 0004 5895 9273,0000 0004 5895 9273,,,Aveiro,Portugal,2742611,https://ror.org/00nt41z93,,
