html_url,id,names.types.ror_display,status,types,names.types.alias,names.types.label,names.types.acronym,links.type.website,links.type.wikipedia,domains,established,external_ids.type.fundref.all,external_ids.type.fundref.preferred,external_ids.type.grid.all,external_ids.type.grid.preferred,external_ids.type.isni.all,external_ids.type.isni.preferred,external_ids.type.wikidata.all,external_ids.type.wikidata.preferred,city,country,locations.geonames_id,NID
,https://ror.org/027534h12,ANA Holdings Inc. (Japan),active,company,ANA Holdings,ANA Holdings Inc.;ANA Holdings Inc. (Japan);ANAホールディングス株式会社*ja,,https://www.ana.co.jp,,ana.co.jp,,,,,,,,,,Minato,Japan,13353696,NID201200810015746
,https://ror.org/021bhhq14,ASTI Corporation (Japan),active,company,,ASTI Corporation;ASTI Corporation (Japan);ASTI株式会社*ja,,https://www.asti.co.jp,,asti.co.jp,,,,,,,,,,Hamamatsu,Japan,1863289,NID201200733939206
,https://ror.org/01gy5eb25,Axcelead Drug Discovery Partners Inc. (Japan),active,company,Axcelead Drug Discovery Partners,Axcelead Drug Discovery Partners Inc.;Axcelead Drug Discovery Partners Inc. (Japan);Axcelead Drug Discovery Partners株式会社*ja,,https://www.axcelead-hd.com,,axcelead-hd.com,,,,,,,,,,Fujisawa,Japan,1864092,NID201200196574765
,https://ror.org/04b5qjv91,BEENOS Inc. (Japan),active,company,BEENOS,BEENOS Inc.;BEENOS Inc. (Japan);BEENOS株式会社*ja,,https://beenos.com,,beenos.com,,,,,,,,,,Shinagawa City,Japan,1852139,NID201200376134857
,https://ror.org/01z2gze58,CKD Corporation (Japan),active,company,,CKD Corporation;CKD Corporation (Japan);CKD株式会社*ja,,https://www.ckd.co.jp,,ckd.co.jp,,,,,,,,,,Yamagata,Japan,2110556,NID201200276240810
,https://ror.org/02j57pr36,FDK Corporation (Japan),active,company,,FDK Corporation;FDK Corporation (Japan);FDK株式会社*ja,,https://www.fdk.com,,fdk.com,,,,,,,,,,Aoba,Japan,7470870,NID201200270450198
,https://ror.org/020x9b423,"G&G Science Co., Ltd. (Japan)",active,company,G&G Science,"G&G Science Co., Ltd.;G&G Science Co., Ltd. (Japan);G&Gサイエンス株式会社*ja",,https://ggs-ls.com,,ggs-ls.com,,,,,,,,,,Fukushima,Japan,2112923,NID201200478831281
,https://ror.org/02h576f65,GKN Driveline Japan Ltd (Japan),active,company,GKN Driveline Japan,GKN Driveline Japan Ltd;GKN Driveline Japan Ltd (Japan);GKNドライブラインジャパン株式会社*ja,,http://www.gkndriveline.com,,gkndriveline.com,,,,,,,,,,Tochigi,Japan,1850311,NID201200365752693
,https://ror.org/003g8cr37,"H.U. Group Holdings, Inc. (Japan)",active,company,H.U. Group Holdings,"H.U. Group Holdings, Inc.;H.U. Group Holdings, Inc. (Japan);H.U.グループホールディングス株式会社*ja",,https://www.hugp.com,,hugp.com,,,,,,,,,,Minato,Japan,13353696,NID201200645987335
,https://ror.org/05wfaeg41,IDEX Health & Science KK (Japan),active,company,IDEX Health & Science,IDEX Health & Science KK;IDEX Health & Science KK (Japan);IDEX Health & Science株式会社*ja,,https://www.erc.jp,,erc.jp,,,,,,,,,,Kawaguchi,Japan,1859730,NID201200945394217
,https://ror.org/00c03hy02,IMS Techno (Japan),active,company,,IMS Techno;IMS Techno (Japan);IMSテクノ株式会社*ja,,https://www.imstechbiz.com,,imstechbiz.com,,,,,,,,,,Godo,Japan,1863611,NID201200519604331
,https://ror.org/05v2z0257,IMV Corporation (Japan),active,company,,IMV Corporation;IMV Corporation (Japan);IMV株式会社*ja,,https://we-are-imv.com,,we-are-imv.com,,,,,,,,,,Nishiyodogawa Ku,Japan,7391695,NID201200356544658
,https://ror.org/02rhvhd80,"JMACS Japan Co., Ltd. (Japan)",active,company,JMACS Japan,"JMACS Japan Co., Ltd.;JMACS Japan Co., Ltd. (Japan);JMACS株式会社*ja",,https://global.jmac.co.jp,,global.jmac.co.jp,,,,,,,,,,Katō Shi,Japan,7370821,NID201200870010309
